Datetime,Temperature
2021-04-04T17:46:00+0200,21.65
2021-04-04T17:46:30+0200,21.69
2021-04-04T17:47:00+0200,21.50
2021-04-04T17:47:30+0200,21.63
2021-04-04T17:48:00+0200,21.63
2021-04-04T17:48:30+0200,20.23
2021-04-04T17:49:00+0200,21.47
2021-04-04T17:49:30+0200,21.63
2021-04-04T17:50:00+0200,21.45
2021-04-04T17:50:30+0200,21.50
2021-04-04T17:51:00+0200,21.63
2021-04-04T17:51:30+0200,21.80
2021-04-04T17:52:00+0200,21.41
2021-04-04T17:52:30+0200,21.50
2021-04-04T17:53:00+0200,21.63
2021-04-04T17:53:30+0200,21.47
2021-04-04T17:54:00+0200,21.63
2021-04-04T17:54:30+0200,21.39
2021-04-04T17:55:00+0200,21.63
2021-04-04T17:55:30+0200,21.47
2021-04-04T17:56:00+0200,21.65
2021-04-04T17:56:30+0200,21.45
2021-04-04T17:57:00+0200,21.67
2021-04-04T17:57:30+0200,21.69
2021-04-04T17:58:00+0200,21.76
2021-04-04T17:58:30+0200,21.71
2021-04-04T17:59:00+0200,21.47
2021-04-04T17:59:30+0200,21.67
2021-04-04T18:00:00+0200,21.67
2021-04-04T18:00:30+0200,21.63
2021-04-04T18:01:00+0200,21.71
2021-04-04T18:01:30+0200,21.47
2021-04-04T18:02:00+0200,21.39
2021-04-04T18:02:30+0200,21.74
2021-04-04T18:03:00+0200,21.47
2021-04-04T18:03:30+0200,21.63
