
Day_Month;Fajr;Shourouk;Dohr;Asr;Maghrib;Ichaa
13.04;05:03;06:33;13:32;17:16;20:22;21:42   
14.04;05:01;06:31;13:32;17:17;20:23;21:43   
15.04;04:59;06:29;13:32;17:18;20:25;21:45   
16.04;04:57;06:27;13:31;17:18;20:26;21:46   
17.04;04:55;06:25;13:31;17:19;20:28;21:48   
18.04;04:53;06:23;13:31;17:20;20:29;21:49   
19.04;04:51;06:21;13:31;17:20;20:31;21:51 
20.04;04:49;06:19;13:30;17:21;20:32;21:52   
21.04;04:47;06:17;13:30;17:22;20:34;21:54   
22.04;04:45;06:15;13:30;17:22;20:35;21:55   
23.04;04:43;06:13;13:30;17:23;20:37;21:57   
24.04;04:41;06:11;13:30;17:23;20:38;21:58   
25.04;04:39;06:09;13:29;17:24;20:40;22:00   
26.04;04:38;06:08;13:29;17:25;20:41;22:01 
27.04;04:36;06:06;13:29;17:25;20:43;22:03  
28.04;04:34;06:04;13:29;17:26;20:44;22:04 
29.04;04:32;06:02;13:29;17:26;20:45;22:05   
30.04;04:30;06:00;13:29;17:27;20:47;22:07   
01.05;04:29;05:59;13:29;17:28;20:48;22:08   
02.05;04:27;05:57;13:28;17:28;20:50;22:10   
03.05;04:25;05:55;13:28;17:29;20:51;22:11
04.05;04:24;05:54;13:28;17:29;20:53;22:13   
05.05;04:22;05:52;13:28;17:30;20:54;22:14
06.05;04:20;05:50;13:28;17:30;20:56;22:16   
07.05;04:19;05:49;13:28;17:31;20:57;22:17   
08.05;04:17;05:47;13:28;17:32;20:59;22:19   
09.05;04:16;05:46;13:28;17:32;21:00;22:20   
10.05;04:14;05:44;13:28;17:33;21:01;22:21   
11.05;04:13;05:43;13:28;17:33;21:03;22:23 
12.05;04:11;05:41;13:28;17:34;21:04;22:24 
